Nom_scientifique;Nom_commun_francais;Groupe;IUCN;Nom_commun_anglais
Amphibien;Amphibien;Amphibien;NA;Amphibian
Amphibien sp.;Amphibien sp.;Autre;NA;Undetermined amphibian
Aonyx capensis;Loutre � joues blanches;Carnivore;NT;African clawless otter
Araignee sp.;Araignee sp.;Autre;NA;Spider sp.
Atelerix albiventris;Herisson a ventre blanc;Erinaceomorphe;LC;Four-toed hedgehog
Atherurus africanus;Atherure africain;Rongeur;LC;African brush-tailed porcupine
Atilax paludinosus;Mangouste des marais;Carnivore;LC;Marsh Mongoose
Bos taurus;Vache;Domestique;NA;Cow
Bovide sp.;Bovide sp.;Bovide;NA;Bovid sp.
Canis familiaris;Chien domestique;NA;NA;Domestic dog
Canis lupus familiaris;Chien;Domestique;NA;Dog
Capra sp.;Chevre;Domestique;NA;Goat
Caracal aurata;Chat dore;Carnivore;VU;African golden cat
Caracal caracal;Caracal;Carnivore;LC;Caracal
Cephalophus dorsalis;Cephalophe a bande dorsale noire;Bovide;NT;Bay duiker
Cephalophus jentinki;Cephalophe de Jentink;Bovide;EN;Jentink's duiker
Cephalophus niger;Cephalophe noir;Bovide;LC;Black duiker
Cephalophus ogilbyi brookei;Cephalophe de Brooke;Bovide;VU;Brooke's duiker
Cephalophus rufilatus;Cephalophe a flancs roux;Bovide;LC;Red-flanked duiker
Cephalophus silvicultor;Cephalophe a dos jaune;Bovide;NT;Yellow-backed duiker
Cephalophus sp.;Cephalophe sp.;Bovide;NA;Duiker sp.
Cephalophus zebra;Cephalophe zebre;Bovide;VU;Zebra duiker
Cercocebus atys;Cercocebe fuligineux;Primate;VU;Sooty mangabey
Cercopithecus campbelli;Mone de Campbell;Primate;NT;Campbell's monkey
Cercopithecus diana;Cercopitheque diane;Primate;EN;Diana monkey
Cercopithecus nictitans stampflii;Cercopitheque hocheur;Primate;EN;Stampfli's putty-nosed monkey
Cercopithecus petaurista;Cercopitheque blanc-nez;Primate;NT;Spot-nosed monkey
Chasseur;Chasseur;Humain;NA;Hunter
Chiroptere sp.;Chauve-souris sp.;Chiroptere;NA;Bat sp.
Chlorocebus sabaeus;Vervet vert;Primate;LC;Green monkey
Choeropsis liberiensis;Hippopotame pygmee;Hippopotamide;EN;Pygmy hippopotamus
Civettictis civetta;Civette africaine;Carnivore;LC;African civet
Colobus polykomos;Colobe blanc-noir;Primate;EN;King colobus
Cricetome sp.;Cricetome sp.;Rongeur;NA;Unidentified giant pouched rat
Cricetomys emini;Cricetome de foret;Rongeur;LC;Forest giant pouched rat
Cricetomys gambianus;Rat geant de Gambie;Rongeur;LC;Northern giant pouch rat
Crocodile sp.;Crocodile sp.;Reptile;NA;Crocodile sp.
Crocuta crocuta;Hyene tachetee;Carnivore;LC;Spotted hyena
Crossarchus obscurus;Mangouste brune;Carnivore;LC;Common kusimanse
Dendrohyrax dorsalis;Daman d'arbre;Autre;NA;Western tree hyrax
Ecureuil sp.;Ecureuil sp.;Rongeur;NA;Squirrel sp.
Epixerus ebii;Ecureuil d'Ebi;Rongeur;LC;Western palm squirrel
Erythrocebus patas;Patas;Primate;NT;Patas monkey
Felin sp.;Felin sp.;Carnivore;NA;Unidentified feline
Funisciurus pyrropus;Funisciure a pattes rousses;Rongeur;LC;Fire-footed rope squirrel
Galago senegalensis;Galago du Senegal;Primate;LC;Northern lesser galago
Galago sp.;Galago sp.;Primate;NA;Galago sp.
Galagoides demidoff;Galago de Demidoff;Primate;LC;Demidoff's dwarf galago
Galagoides thomasi;Galago de Thomas;Primate;LC;Thomas's dwarf galago
Genetta bourloni;Genette de Bourlon;Carnivore;VU;Bourlon's genet
Genetta genetta;Genette commune;Carnivore;LC;Common genet
Genetta johnstoni;Genette de Johnston;Carnivore;NT;Johnston's genet
Genetta pardina;Genette pardine;Carnivore;NT;Pardine genet
Genetta sp.;Genette sp.;Carnivore;NA;Genet sp.
Graphiure sp.;Graphiure sp.;Rongeur;NA;Unidentified dormouse
Graphiurus nagtglasii;Graphiure d'Afrique de l'Ouest;Rongeur;LC;Nagtglas's african dormouse
Heliosciure sp.;Heliosciure sp.;Rongeur;NA;Unidentified sun squirrel
Heliosciurus gambianus;Heliosciure de Gambie;Rongeur;LC;Gambian sun squirrel
Heliosciurus rufobrachium;Heliosciure a pattes rousses;Rongeur;LC;Red-legged sun squirrel
Herpestes ichneumon;Mangouste ichneumon;Carnivore;LC;Egyptian mongoose
Herpestes sanguineus;Mangouste rouge;Carnivore;LC;Common slender mongoose
Hippopotamus amphibius;Hippopotame amphibie;Hippopotamide;VU;Hippopotamus
Hippotragus equinus;Antilope rouanne;Bovide;LC;Roan antelope
Homo sapiens sapiens - poacher;Braconnier;Humain;NA;Poacher
Homo sapiens sapiens - camera team;Equipe camera;Humain;NA;Camera trap team
Homo sapiens sapiens - villager;Humain;Humain;NA;Human
Hydrictis maculicollis;Loutre a cou tachete;Carnivore;NT;Spotted-neck otter
Hyemoschus aquaticus;Chevrotain aquatique;Bovide;LC;Water chevrotain
Hylochoerus meinertzhageni;Hylochere;Suide;LC;Forest hog
Hystrix cristata;Porc-epic a crete;Rongeur;LC;Crested porcupine
Ichneumia albicauda;Mangouste a queue blanche;Carnivore;LC;White-tailed mongoose
Indetermine;Espece indeterminee;NA;NA;Unknown
Kobus ellipsiprymnus defassa;Cobe defassa;Bovide;NT;Defassa waterbuck
Kobus kob;Cobe de Buffon;Bovide;LC;Kob
Leptailurus serval;Serval;Carnivore;LC;Serval
Lepus victoriae;Lievre des savanes;Rongeur;LC;African savanna hare
Lezard sp.;Lezard sp.;Reptile;NA;Lizard sp.
Liberiictis kuhni;Mangouste du Liberia;Carnivore;VU;Liberian mongoose
Loutre sp.;Loutre sp.;Carnivore;NA;Otter sp.
Loxodonta cyclotis;Elephant de foret;Elephantide;CR;African forest elephant
Lupulella adustus;Chacal a flancs rayes;Carnivore;LC;Side-striped jackal
Mangouste sp.;Mangouste sp.;Carnivore;NA;Mongoose sp.
Manidae sp.;Pangolin sp.;Pangolin;NA;Pangolin sp.
Mecistops cataphractus;Faux-gavial d'Afrique;Reptile;CR;Slender-snouted crocodile
Mellivora capensis;Ratel;Carnivore;LC;Honey badger
Mungos gambianus;Mangouste de Gambie;Carnivore;LC;Gambian mongoose
Mungos mungo;Mangouste rayee;Carnivore;LC;Banded mongoose
Mus sp.;Souris sp.;Rongeur;NA;Mouse sp.
Musaraigne sp.;Musaraigne sp.;Rongeur;NA;Unidentified shrew
Myriapoda sp.;Millepatte;Autre;NA;Millipede
NA;NA;NA;NA;NA
Image vide;Image vide;NA;NA;Empty image
Image noire;Image noire;NA;NA;Black image
Illisible;Video illisible;NA;NA;Unreadable video
Video vide;Video vide;NA;NA;Empty video
Naja guineensis;Cobra de foret noir;Reptile;NE;Black forest cobra
Naja savannula;Naja savannula;Reptile;LC;West African banded cobra
Nandinia binotata;Nandinie;Carnivore;LC;African palm civet
Neotragus pygmaeus;Antilope royale;Bovide;LC;Royal antelope
Orycteropus afer;Oryct�rope du Cap;Tubulidente;LC;Aardvark
Ovis aries;Mouton;Domestique;NA;Sheep
Pan troglodytes verus;Chimpanze;Primate;CR;Western chimpanzee
Panthera leo;Lion;Carnivore;VU;Lion
Panthera pardus;Leopard;Carnivore;VU;Leopard
Papillon sp.;Papillon sp.;NA;NA;Unidentified butterfly
Papio papio;Babouin de Guinee;Primate;NT;Guinea baboon
Paraxerus poensis;Ecureuil de Fernando Po;Rongeur;LC;Green bush squirrel
Phacochoerus africanus;Phacochere commun;Suide;LC;Common warthog
Phataginus tetradactyla;Pangolin a longue queue;Pangolin;VU;Black-bellied pangolin
Phataginus tricuspis;Pangolin a petites ecailles;Pangolin;EN;White-bellied pangolin
Philantomba maxwellii;Cephalophe de Maxwell;Bovide;LC;Maxwell's duiker
Piliocolobus badius badius;Colobe bai d'Afrique occidentale;Primate;EN;Bay colobus
Poiana leightoni;Linsang de Leighton;Carnivore;VU;West african oyan
Potamochoerus porcus;Potamochere roux;Suide;LC;Red river hog
Procavia capensis;Daman des rochers;Hyracoide;LC;Rock hyrax
Procolobus verus;Colobe vert olive;Primate;VU;Olive colobus
Protoxerus aubinnii;Ecureuil d'Aubin;Rongeur;NT;Slender-tailed squirrel
Protoxerus stangeri;Ecureuil de Stanger;Rongeur;LC;Forest giant squirrel
Reptile sp.;Reptile sp.;Reptile;NA;Reptile sp.
Rongeur sp.;Rongeur sp.;Rongeur;NA;Rodent sp.
Serpent sp.;Serpent sp.;Reptile;NA;Snake sp.
Singe sp.;Singe sp.;Primate;NA;Monkey sp.
Smutsia gigantea;Pangolin geant;Pangolin;EN;Giant ground pangolin
Sylvicapra grimmia;Cephalophe de Grimm;Bovide;LC;Common duiker
Syncerus caffer nanus;Buffle nain;Bovide;NT;African buffalo
Thryonomys swinderianus;Grand aulacode;Rongeur;LC;Greater cane rat
Tortue sp.;Tortue sp.;Reptile;NA;Unidentified tortoise
Tragelaphus eurycerus;Bongo;Bovide;NT;Bongo
Tragelaphus scriptus;Guib harnache;Bovide;LC;Bushbuck
Varanus exanthematicus;Varan des savanes;Reptile;LC;Savanna monitor
Varanus niloticus;Varan du Nil;Reptile;LC;Nile monitor
Varanus sp.;Varan sp.;Reptile;NA;Monitor sp.
Villageois;Homme;Humain;NA;Villager
Xerus erythropus;Ecureuil fouisseur;Rongeur;LC;Striped ground squirrel

